composite,aqGroup,meanAQscore,Rater101,Rater103,Rater104,Rater201,Rater204,Rater302,Rater303,Rater305,Rater401,Rater402,Rater403,Rater404,Rater502,Rater504,Rater802,Rater901,Rater904,Rater1001,Rater1002,Rater1201,Rater1301,Rater1302,Rater1303,Rater1401,Rater1501,Rater1502,Rater1503,Rater1504,Rater1602,Rater1603,Rater1604,Rater1605,Rater1701,Rater1702,Rater1703,Rater1704,aveRating
masc_MH1_ave,MHAQ,26,3.4,4,8.9,6.8,3.2,5.5,5,1.8,5.9,2.1,4.4,3.3,7.7,5,4.4,4,2.3,6.5,6.6,5.8,4.1,7,5,9.4,5.4,6.6,6.5,6.1,1.1,4.5,6.2,2.7,4.4,7,5.5,3.6,5.047222222
masc_MH2_ave,MHAQ,23.5,3.4,2,3.7,3.6,2.5,2.3,1.5,2.3,1.7,2.4,1.1,6.2,7.4,2.4,5,2.5,3,6,6.2,4.5,1.4,2.1,3.1,6.7,1.6,7.7,5.8,5.9,0.9,1.1,5,1.8,5.9,1.7,3.5,4,3.552777778
masc_MH3_ave,MHAQ,24.33333333,2,1.5,7,4.1,3.2,4.4,6.8,4,7.6,2.6,1,6.8,7,4.3,3.7,1.5,2.4,5.5,6.8,5.6,3.2,1,3.4,9.1,1.1,6.8,6,2,3.2,3.4,6.3,0.9,4.4,7.8,5,3.5,4.302777778
masc_ML1_ave,MLAQ,8.5,2.5,2.5,7.9,5.6,3.3,3.8,5,1.3,2.1,2.1,7.5,7.2,7,1.6,6,2.8,2.2,4.4,6.4,4.3,3.8,1.7,4.2,6.4,1.6,7.3,6.3,1.4,3.9,4.9,6.2,2.2,4.4,5,5,4,4.272222222
masc_ML2_ave,MLAQ,8.166666667,4,3,7.3,5.3,3.2,5.4,5,3.4,4.6,7.2,2.7,4.6,7.3,5,4.3,1.8,1.5,7,6.3,5.3,2.1,6.1,3.5,9.2,2.8,5,6.8,4,2.7,4.7,5.6,3.3,5.5,2.5,6.2,5,4.7
masc_ML3_ave,MLAQ,10,4,3,8.1,4.3,3.7,5.9,6.5,6.2,2.8,7.5,6,4.6,7.5,2.6,5,5.5,3.9,6.5,6,6.9,5,7.2,3.6,8.1,5.9,6.5,7.1,3.3,3.9,6.2,6.4,1.9,3.4,3.2,6.2,4,5.233333333
masc_MM1_ave,MMAQ,15.83333333,2,1.5,6,4.1,3.2,4.1,4,1.6,2.2,2.3,5,3.8,7.3,1.7,4.1,2,3,6,6,7.6,1.6,2,3.2,5,0.6,5.8,5.2,4.6,3.4,5,5.6,1.3,3.4,2,4.5,2.6,3.702777778
masc_MM2_ave,MMAQ,16.16666667,3.3,2,5.2,4.7,2.9,4.4,3,3,5.5,2.6,1.7,6.3,7.5,1.5,3.8,2.4,2.6,6,7.5,4.9,3.1,3.7,5,5,3.3,8.2,4.6,3.9,5.6,2.7,7.5,2,3,2.2,4,4,4.127777778
masc_MM3_ave,MMAQ,16.33333333,2.3,1.5,5,5.5,3,4.5,1.5,1.9,0.5,2.9,5.7,3.9,7.2,1.8,5,1.9,1.6,4.5,6.9,7.3,1.5,1.5,3.8,6.2,2.1,5,6.4,4.2,1,3.5,6.8,1,3.6,3.6,4.5,2.6,3.658333333
