composite,aqGroup,meanAQscore,Rater101,Rater103,Rater104,Rater201,Rater204,Rater302,Rater303,Rater305,Rater401,Rater402,Rater403,Rater404,Rater502,Rater504,Rater802,Rater901,Rater904,Rater1001,Rater1002,Rater1201,Rater1301,Rater1302,Rater1303,Rater1401,Rater1501,Rater1502,Rater1503,Rater1504,Rater1602,Rater1603,Rater1604,Rater1605,Rater1701,Rater1702,Rater1703,Rater1704
fem_FH1_ave,FHAQ,27,7.3,7,6.9,5,8.2,8.7,6.3,8.6,9.6,8.9,6.2,8.4,9.1,6,8,7.2,8,3.4,7,9,6.1,6,3.1,5,6.8,8.4,7.4,5.7,6.3,1.3,7.9,5.5,6.1,7.9,6.3,5.2
fem_FH2_ave,FHAQ,28.16666667,5.8,3.2,8.1,5.5,8.2,7,7.6,8.4,8.6,5.5,6.3,7.3,8.4,3.4,5.6,8.6,7,2.6,7,5.7,6.6,6.1,4.2,6.3,4,5,4.1,5,8.1,5,7.4,5.6,5,4.3,5.3,5.6
fem_FH3_ave,FHAQ,25.66666667,7,9.4,8.3,7.3,8.7,9.1,10,8.4,8.1,8.1,9.1,7.2,9.6,7,7.2,6.3,8,7.1,6.5,7.8,6.8,6.1,7.6,8.6,9.7,8.4,7.4,4.6,7.5,8,6.3,6.4,7.5,7.7,6.4,5
fem_FL1_ave,FLAQ,9.333333333,6.8,10,7.9,7.1,8.9,9.1,7.1,9.6,8.5,8.8,9.1,8.9,9.7,8.6,7.9,7,7.5,7.5,6.5,5.5,8.6,6,2.5,8.1,7.8,8.4,6.2,4.8,6.8,5,8.1,5,8,8,6,5.5
fem_FL2_ave,FLAQ,7.833333333,8,7.5,6.9,5.7,8.7,8.7,10,6.8,8.8,0.8,8.3,9.3,9.7,7.6,5.8,8.8,6.7,6.5,6.5,5.3,7.4,5.7,3.7,5.5,10,6.9,7.9,5.9,8.2,8.1,7.8,5.3,7.3,6.4,5,4.6
fem_FL3_ave,FLAQ,7.666666667,7.8,8.1,8.6,6.8,8.7,9.7,8.1,9.7,9.7,9.2,9.1,9.3,9.6,7.5,8.2,8.3,6.9,6.5,6.5,5.7,7.8,6,6.4,8.9,9.4,6.8,7.3,5.7,8,10,8.8,6.6,7.6,7.5,6.3,5
fem_FM1_ave,FMAQ,16.33333333,6.8,6.8,8.5,5.5,8.4,8.8,7,6.6,9.4,2.2,6.6,8.9,9.6,7.3,6.2,7,7.4,5.9,6.5,8,6.2,6,3.1,5,8.7,7,6.4,5,8.9,2.8,6.9,5,5.6,7.5,6.8,5.2
fem_FM2_ave,FMAQ,16.66666667,6.2,7.7,7.8,7.2,8.8,7.3,8,4,9.1,6.3,7.8,9.5,8.8,6,8.1,7.1,8.3,6.7,6.5,8.1,7.4,6,4.8,6.2,9,8.6,6.8,6.2,7.8,5,7.6,5,7.1,6,6.1,5.5
fem_FM3_ave,FMAQ,16.66666667,6.6,8.8,7.6,6.7,6.8,9,7.6,9.6,8.8,8.1,6.1,5.7,9.7,6.1,7.4,6.6,7.3,7.5,6,5.6,5.8,5.7,3.9,6.1,10,8.2,6.8,5.6,8,5,6.2,5,6.8,6.4,5.6,5
